Game,Score,Steps,Length
509,84,2532,87
510,41,1110,44
511,89,2907,92
512,74,2138,77
513,50,1398,53
514,42,1061,45
515,72,1854,75
516,23,568,26
517,30,692,33
518,26,834,29
519,53,1390,56
520,38,1039,41
521,36,1033,39
522,75,2223,78
523,86,2821,89
524,36,846,39
525,51,1302,54
526,77,2477,80
527,39,1030,42
528,71,1946,74
529,96,3176,99
530,33,697,36
531,38,1013,41
532,29,655,32
533,64,1734,67
534,41,979,44
535,44,1237,47
536,86,2937,89
537,50,1383,53
538,42,1103,45
539,101,2755,104
540,62,1582,65
541,64,1618,67
542,83,2148,86
543,81,2334,84
544,48,1118,51
545,34,940,37
546,57,1697,60
547,76,2177,79
548,41,1181,44
549,35,857,38
550,44,1240,47
551,56,1321,59
552,15,236,18
553,39,957,42
554,58,1440,61
555,37,863,40
556,32,875,35
557,37,1016,40
558,32,826,35
559,35,1078,38
560,43,1225,46
561,44,1166,47
562,32,839,35
563,37,1057,40
564,57,1669,60
565,48,1330,51
566,16,453,19
567,46,1141,49
568,11,239,14
569,37,915,40
570,83,2475,86
571,14,460,17
572,30,793,33
573,31,879,34
574,48,1348,51
575,26,677,29
576,67,2058,70
577,16,387,19
578,71,1839,74
579,91,2516,94
580,74,2036,77
581,66,1905,69
582,69,1793,72
583,27,633,30
584,90,2494,93
585,57,1412,60
586,43,1194,46
587,69,2029,72
588,76,2103,79
589,41,1130,44
590,43,1256,46
591,68,1949,71
592,21,594,24
593,43,1128,46
594,52,1406,55
595,74,2066,77
596,48,1396,51
597,95,2703,98
598,81,2160,84
599,13,348,16
600,83,2481,86
601,22,472,25
602,52,1380,55
603,80,2028,83
604,63,1633,66
605,53,1338,56
606,23,525,26
607,57,1393,60
608,49,1295,52
609,59,1777,62
610,76,2241,79
611,53,1701,56
612,75,2190,78
613,55,1550,58
614,50,1101,53
615,75,2318,78
616,49,1180,52
617,75,2518,78
618,33,782,36
619,14,300,17
620,36,946,39
621,78,2111,81
622,30,873,33
623,81,2414,84
624,32,819,35
625,37,1000,40
626,78,2550,81
627,30,714,33
628,35,887,38
629,78,2070,81
630,90,2816,93
631,48,1309,51
632,93,3001,96
633,54,1459,57
634,42,1031,45
635,37,1118,40
636,60,1493,63
637,44,1204,47
638,76,2222,79
639,28,656,31
640,25,635,28
641,58,1492,61
642,58,1511,61
643,23,510,26
644,59,1604,62
645,92,2453,95
646,58,1532,61
647,30,768,33
648,57,1587,60
649,10,169,13
650,47,1297,50
651,25,571,28
652,41,1184,44
653,43,1180,46
654,33,771,36
655,53,1541,56
656,69,1913,72
657,63,1849,66
658,30,717,33
659,48,1468,51
660,52,1421,55
661,54,1557,57
662,32,899,35
663,74,2158,77
664,24,587,27
665,60,1697,63
666,31,874,34
667,52,1344,55
668,100,3369,103
669,34,809,37
670,89,2456,92
671,32,850,35
672,46,1249,49
673,98,2734,101
674,74,2099,77
675,46,1248,49
676,60,1565,63
677,90,2469,93
678,69,1687,72
679,17,344,20
680,79,2230,82
681,37,817,40
682,53,1499,56
683,44,1114,47
684,26,557,29
685,85,2813,88
686,104,3155,107
687,57,1715,60
688,13,344,16
689,50,1553,53
690,87,2599,90
691,45,1143,48
692,32,758,35
693,27,658,30
694,35,971,38
695,57,1737,60
696,54,1489,57
697,58,1772,61
698,73,2128,76
699,38,923,41
700,82,2587,85
701,45,1120,48
702,68,1944,71
703,45,1197,48
704,64,1669,67
705,30,631,33
706,50,1284,53
707,74,1907,77
708,37,958,40
709,37,992,40
710,22,600,25
711,44,1015,47
712,79,2493,82
713,59,1676,62
714,61,1841,64
715,12,260,15
716,40,1010,43
717,57,1548,60
718,6,175,9
719,88,2521,91
720,27,713,30
721,67,1956,70
722,69,1685,72
723,84,2430,87
724,82,2468,85
725,46,1198,49
726,74,2002,77
727,72,1878,75
728,48,1160,51
729,42,1221,45
730,55,1445,58
731,133,4572,136
732,64,1931,67
733,42,1120,45
734,71,2240,74
735,51,1474,54
736,49,1242,52
737,20,428,23
738,79,2133,82
739,98,3125,101
740,47,1076,50
741,43,1077,46
742,84,2410,87
743,113,3856,116
744,28,663,31
745,51,1436,54
746,84,2337,87
747,23,546,26
748,113,4069,116
749,39,984,42
750,86,2867,89
751,59,1534,62
752,48,1182,51
753,74,2036,77
754,31,711,34
755,97,3016,100
756,120,3793,123
757,42,1003,45
758,76,2121,79
759,35,898,38
760,66,1786,69
761,39,1097,42
762,77,2150,80
763,29,804,32
764,58,1528,61
765,29,723,32
766,55,1429,58
767,28,561,31
768,90,2689,93
769,68,1841,71
770,87,2532,90
771,79,2409,82
772,59,1520,62
773,21,531,24
774,68,1785,71
775,60,1464,63
776,90,2716,93
777,61,1633,64
778,75,1960,78
779,94,3495,97
780,36,1040,39
781,59,1646,62
782,74,2041,77
783,16,323,19
784,50,1278,53
785,61,1613,64
786,36,909,39
787,26,635,29
788,56,1701,59
789,59,1451,62
790,64,1624,67
791,33,778,36
792,34,951,37
793,31,758,34
794,69,2021,72
795,68,1878,71
796,49,1231,52
797,66,1674,69
798,46,1309,49
799,43,1109,46
800,22,497,25
801,20,475,23
802,47,1233,50
803,47,1345,50
804,50,1359,53
805,30,839,33
806,28,730,31
807,74,1870,77
808,36,882,39
809,128,5116,131
810,41,1025,44
811,42,1160,45
812,69,1996,72
813,58,1501,61
814,41,1213,44
815,59,1551,62
816,54,1303,57
817,103,3216,106
818,21,601,24
819,55,1387,58
820,60,1558,63
821,63,1632,66
822,14,400,17
823,76,2695,79
824,42,1005,45
825,84,2313,87
826,76,2553,79
827,49,1232,52
828,50,1175,53
829,52,1474,55
830,42,1157,45
831,60,1675,63
832,56,1475,59
833,85,2573,88
834,12,370,15
835,27,592,30
836,17,343,20
837,25,559,28
838,24,600,27
839,51,1409,54
840,58,1474,61
841,80,2142,83
842,55,1351,58
843,46,1222,49
844,89,2712,92
845,30,755,33
846,56,1283,59
847,39,893,42
848,58,1632,61
849,49,1357,52
850,67,1894,70
851,35,1072,38
852,21,563,24
853,36,955,39
854,56,1490,59
855,52,1378,55
856,57,1559,60
857,34,848,37
858,75,1947,78
859,35,963,38
860,52,1379,55
861,79,2372,82
862,59,1420,62
863,49,1384,52
864,37,867,40
865,58,1722,61
866,56,1503,59
867,82,2466,85
868,51,1333,54
869,16,362,19
870,26,642,29
871,25,560,28
872,38,1002,41
873,58,1436,61
874,42,1212,45
875,90,2701,93
876,36,1020,39
877,56,1453,59
878,85,2617,88
879,70,2150,73
880,54,1421,57
881,46,1304,49
882,55,1643,58
883,67,2091,70
884,50,1399,53
885,64,1764,67
886,88,3014,91
887,43,1128,46
888,57,1506,60
889,41,928,44
890,71,1857,74
891,37,825,40
892,32,797,35
893,35,943,38
894,88,2161,91
895,26,626,29
896,80,2319,83
897,44,1297,47
898,83,2387,86
899,41,1068,44
900,57,1650,60
901,53,1644,56
902,21,541,24
903,44,1106,47
904,84,2437,87
905,57,1538,60
906,26,699,29
907,83,2408,86
908,52,1436,55
909,86,2386,89
910,87,2422,90
911,68,1834,71
912,40,994,43
913,57,1399,60
914,98,3274,101
915,19,490,22
